Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
Colombia,COL,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.1,2.1,10.4,17.1,17.1,17.2,17.2,17.1,17.1
Comoros,COM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0.4,0.4,0.4,0.4
Cabo Verde,CPV,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Costa Rica,CRI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.8,0.8,0.8,0.8,2.6,2.7,2.7,29,29
Caribbean small states,CSS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.686523924,0.688598325,3.836903777,3.838800121,3.864865502,3.896234254,3.896234254,3.896234254,3.896234254
Cuba,CUB,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.6,4.3,4.3,4.3,3.9,3.9,3.9,3.9,3.9
Curacao,CUW,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Cayman Islands,CYM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Cyprus,CYP,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.1,0.1,0.1,0.1,0.1,8.6,8.6,8.6,8.6
Czechia,CZE,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
Germany,DEU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,45.3,45.4,45.4,45.4,45.4,45.4,45.5,45.5,45.5
Djibouti,DJI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Dominica,DMA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0.1,0.1,0.1,0,0,0,0,0
Denmark,DNK,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,18.2,17.8,18.2,17.8,17.9,18.3,18.3,18.3,18.3
Dominican Republic,DOM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,9.1,9.1,9.1,18,18,18,18,17.3,17.3
Algeria,DZA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
East Asia & Pacific (excluding high income),EAP,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.562208287,2.572360184,2.574283816,2.713458681,2.634833841,2.699401405,2.772602705,2.772602705,2.777195511
Early-demographic dividend,EAR,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,3.127928685,4.870716265,5.021056553,5.130997013,5.413444831,5.554930515,5.725603156,6.060105378,6.064700092
East Asia & Pacific,EAS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,13.34436167,14.59795402,14.57776468,14.66176281,14.75808125,14.70360937,15.69254793,15.69254793,15.77756842
Europe & Central Asia (excluding high income),ECA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,1.264504004,1.291380797,1.291380797,1.291380797,1.294014779,9.649029511,11.36751243,11.3727774,11.3727774
Europe & Central Asia,ECS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,4.563266128,5.37696166,6.574555385,6.949066205,7.27464065,8.0048726,8.502832341,8.507314983,8.089660647
Ecuador,ECU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,13.1,13.1,13.1,13.3,13.3,13.3,13.3,19.1,19.1
"Egypt, Arab Rep.",EGY,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,5,5,5,5,5,5,5,5,5
Euro area,EMU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,7.331859,9.062580724,12.11313137,13.5260906,14.69533359,15.15180169,15.2094296,15.24379103,15.24379103
Eritrea,ERI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
Spain,ESP,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,7.1,8.4,8.4,8.4,12.7,12.8,12.8,12.8,12.8
Estonia,EST,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,18.6,18.6,18.6,18.6,18.6,18.8,18.8,18.8,18.8
Ethiopia,ETH,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,,,,,,,,,
European Union,EUU,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,7.656251393,9.272272517,12.41302157,13.72580107,14.82597994,15.25998564,15.32537709,15.35748427,15.35748427
Fragile and conflict affected situations,FCS,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,2.811175113,2.874482871,2.877538932,2.9417162,2.761740382,2.776740035,2.821165789,2.823853859,2.821165789
Finland,FIN,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,11,11.1,10.5,10.5,12.1,12,12,12,12
Fiji,FJI,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
France,FRA,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,19.2,26.2,30.7,45,48.9,50.4,49.8,49.8,49.8
Faroe Islands,FRO,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",FSM,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,0,0,0,0,0,0,0,0,0
