Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Congo, Dem. Rep.",COD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,11.67464089,11.59195846,11.50185703,11.40437394,11.29904787,11.18566629,11.38371356,11.58433579,
"Congo, Rep.",COG,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,44.18409343,44.76963247,45.35481245,45.53563972,45.71646535,45.89689609,46.07653625,,
Colombia,COL,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,72.50683793,72.72159971,72.93200625,73.12643789,73.27191936,73.4132311,73.71989554,73.85604483,
Comoros,COM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Cabo Verde,CPV,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Costa Rica,CRI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,80.14721556,80.29888117,80.4417707,80.52559036,80.52068401,80.51604657,80.51168811,80.50757849,
Caribbean small states,CSS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Cuba,CUB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Curacao,CUW,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Cayman Islands,CYM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Cyprus,CYP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.96281415,99.22230525,99.48174563,99.7411138,99.76519236,99.76517216,99.76513248,99.76506274,
Czechia,CZE,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,97.88072535,97.88100085,97.88131356,97.8816619,97.88204832,97.8824672,97.88292555,97.88341163,
Germany,DEU,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,99.89677489,99.89984053,99.90294679,99.90611558,99.90934446,99.91265021,99.91604275,99.9164119,
Djibouti,DJI,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Dominica,DMA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
Denmark,DNK,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,98.78440964,99.18130904,99.57821742,99.91883113,99.91883035,99.91882406,99.91882718,99.91882919,
Dominican Republic,DOM,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,44.27185541,44.38441654,44.49237681,44.5939614,44.68936087,44.77878551,44.86265823,44.94117681,
Algeria,DZA,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,76.97196064,76.39485926,75.73054179,75.0361304,73.95387749,72.24814733,70.54703078,70.59793396,
East Asia & Pacific (excluding high income),EAP,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,,,,,,,,,
